2017-01-19	89654	2869	150	2242	5772	768	139	1612	3099	40465	3683	2	3160	9400	559	107	2360	3427	3502	862	7	1259	5791	712	97	1997	27347	48298	2017-02-07 11:12:55
2017-01-20	70744	1835	76	1451	5162	390	92	1016	2507	34194	2819	72	2639	8414	451	132	2219	2736	4070	763	1	526	6313	255	21	1057	22362	39284	2017-02-07 11:13:45
2017-01-21	53464	1429	183	1431	4780	419	126	1252	1626	33852	3242	0	2151	6759	350	17	1123	2290	2828	666	17	1103	3667	327	53	1189	22272	34066	2017-02-07 11:14:32
2017-01-22	53105	1608	42	1674	4720	541	166	1151	1709	35685	3065	0	2708	8149	573	144	1608	2759	3171	697	2	1019	3470	309	26	1607	24068	41433	2017-02-07 11:15:28
2017-01-23	62495	2312	58	1610	4525	312	56	1355	1882	32759	2847	0	1992	7224	375	86	2109	3401	2839	767	2	728	4083	426	38	1099	24015	37564	2017-02-07 11:16:19
2017-01-24	61372	1873	212	1320	4229	473	62	929	1576	29553	2037	23	2072	6113	229	218	1310	2188	2286	654	14	696	3188	325	66	1159	21131	33275	2017-02-07 11:17:21
2017-01-25	47793	1692	32	1134	3486	345	150	1073	1251	27603	1811	13	1684	5526	414	124	1457	1763	2006	624	2	701	3356	153	13	954	17557	29699	2017-02-07 11:18:22
2017-01-26	37111	906	37	886	2236	194	8	683	981	22493	1001	13	1531	3883	360	17	789	1776	1979	410	2	653	1880	140	6	639	15318	19924	2017-02-07 11:19:20
2017-01-27	24405	398	13	639	1623	171	62	436	557	16949	696	0	1244	2855	133	32	453	747	1518	211	2	474	1788	246	32	464	11331	14440	2017-02-07 11:20:14
2017-01-28	25441	696	33	543	1980	281	66	507	609	19991	1107	10	1437	2546	156	6	799	1166	1184	336	4	296	1626	371	14	585	11288	16378	2017-02-07 11:21:17
2017-01-29	24646	599	2	837	1535	192	3	278	495	17505	902	3	1013	2834	137	16	590	1017	1141	455	4	336	1241	224	91	736	11862	14869	2017-02-07 11:22:06
2017-01-30	29117	691	41	671	2031	309	26	372	884	20087	1099	3	1486	3149	209	14	854	1112	1523	333	27	647	1721	158	50	1129	13197	18634	2017-02-07 11:23:49
2017-01-31	35994	1465	29	933	2703	292	15	699	884	25559	1182	4	1104	4629	168	1	1400	1690	2217	390	11	550	2270	245	54	753	16224	24863	2017-02-07 11:24:43
